year,continent,voting
1935,Oceania,33.333333333333336
1936,Africa,0.76
1936,Americas,12.148148148148149
1936,Asia,15.205882352941176
1936,Europe,52
1936,Oceania,33.333333333333336
1937,Africa,0.76
1937,Americas,11.518518518518519
1937,Asia,16.029411764705884
1937,Europe,52
1937,Oceania,33.333333333333336
1938,Africa,0.76
1938,Americas,15.296296296296296
1938,Asia,17.5
1938,Europe,57.67857142857143
1938,Oceania,33.333333333333336
1939,Africa,0.76
1939,Americas,15.296296296296296
1939,Asia,17.352941176470587
1939,Europe,48.793103448275865
1939,Oceania,33.333333333333336
1940,Africa,0.76
1940,Americas,16.22222222222222
1940,Asia,14.411764705882353
1940,Europe,36.463846153846156
1940,Oceania,33.333333333333336
1941,Africa,0.76
1941,Americas,16.22222222222222
1941,Asia,14.411764705882353
1941,Europe,33.888888888888886
1941,Oceania,33.333333333333336
1942,Africa,0.7551020408163265
1942,Americas,19.925925925925927
1942,Asia,14.705882352941176
1942,Europe,30.185185185185187
1942,Oceania,33.333333333333336
1943,Africa,0.7551020408163265
1943,Americas,19.925925925925927
1943,Asia,14.705882352941176
1943,Europe,26.48148148148148
1943,Oceania,33.333333333333336
1944,Africa,0.7551020408163265
1944,Americas,24.14814814814815
1944,Asia,14.705882352941176
1944,Europe,24.382703703703704
1944,Oceania,33.333333333333336
1945,Africa,0.7551020408163265
1945,Americas,25.074074074074073
1945,Asia,15.277777777777779
1945,Europe,58.65384615384615
1945,Oceania,33.333333333333336
1946,Africa,2.32
1946,Americas,33.77777777777778
1946,Asia,15.416666666666666
1946,Europe,81.73076923076923
1946,Oceania,33.333333333333336
1947,Africa,2.843137254901961
1947,Americas,35.22222222222222
1947,Asia,16.27027027027027
1947,Europe,84.95523076923077
1947,Oceania,33.333333333333336
1948,Africa,3.6470588235294117
1948,Americas,31.555555555555557
1948,Asia,25.55263157894737
1948,Europe,85.57692307692308
1948,Oceania,33.333333333333336
1949,Africa,3.6470588235294117
1949,Americas,41.74074074074074
1949,Asia,30.28205128205128
1949,Europe,85.76923076923077
1949,Oceania,33.333333333333336
1950,Africa,3.843137254901961
1950,Americas,45.48148148148148
1950,Asia,28.44736842105263
1950,Europe,86.29629629629629
1950,Oceania,33.333333333333336
1951,Africa,6.173076923076923
1951,Americas,52.074074074074076
1951,Asia,25.81578947368421
1951,Europe,86.29629629629629
1951,Oceania,33.5
1952,Africa,11.461538461538462
1952,Americas,48.407407407407405
1952,Asia,30.94736842105263
1952,Europe,86.29629629629629
1952,Oceania,33.5
1953,Africa,11.538461538461538
1953,Americas,54.7037037037037
1953,Asia,36.21052631578947
1953,Europe,86.29629629629629
1953,Oceania,33.5
1954,Africa,11.538461538461538
1954,Americas,57.48148148148148
1954,Asia,41.28947368421053
1954,Europe,86.29629629629629
1954,Oceania,33.5
1955,Africa,12.384615384615385
1955,Americas,62.18518518518518
1955,Asia,46.31578947368421
1955,Europe,86.29629629629629
1955,Oceania,33.5
1956,Africa,18.153846153846153
1956,Americas,68.11111111111111
1956,Asia,48.94736842105263
1956,Europe,90
1956,Oceania,33.5
1957,Africa,41.34615384615385
1957,Americas,79.22222222222223
1957,Asia,48.94736842105263
1957,Europe,90
1957,Oceania,33.5
1958,Africa,43.94230769230769
1958,Americas,83.18518518518519
1958,Asia,48.94736842105263
1958,Europe,90
1958,Oceania,33.5
1959,Africa,47.09615384615385
1959,Americas,83.18518518518519
1959,Asia,51.578947368421055
1959,Europe,90
1959,Oceania,33.5
1960,Africa,50.38461538461539
1960,Americas,79.5925925925926
1960,Asia,48.94736842105263
1960,Europe,90
1960,Oceania,33.5
1961,Africa,57.660377358490564
1961,Americas,83.29629629629629
1961,Asia,51.8421052631579
1961,Europe,90
1961,Oceania,33.5
1962,Africa,61.45283018867924
1962,Americas,78
1962,Asia,51.8421052631579
1962,Europe,90
1962,Oceania,33.5
1963,Africa,61.43396226415094
1963,Americas,77.07407407407408
1963,Asia,51.8421052631579
1963,Europe,90
1963,Oceania,33.5
1964,Africa,72.66037735849056
1964,Americas,73.4074074074074
1964,Asia,51.8421052631579
1964,Europe,90
1964,Oceania,66.66666666666667
1965,Africa,71.0754716981132
1965,Americas,77.11111111111111
1965,Asia,49.26315789473684
1965,Europe,90
1965,Oceania,66.66666666666667
1966,Africa,64.56603773584905
1966,Americas,86.51851851851852
1966,Asia,49.26315789473684
1966,Europe,90
1966,Oceania,83.33333333333333
1967,Africa,61.264150943396224
1967,Americas,86.51851851851852
1967,Asia,50.51282051282051
1967,Europe,86.29629629629629
1967,Oceania,83.33333333333333
1968,Africa,60.9811320754717
1968,Americas,81.22222222222223
1968,Asia,50.51282051282051
1968,Europe,86.29629629629629
1968,Oceania,83.33333333333333
1969,Africa,55.320754716981135
1969,Americas,77.51851851851852
1969,Asia,47.94871794871795
1969,Europe,86.48148148148148
1969,Oceania,83.33333333333333
1970,Africa,57.18867924528302
1970,Americas,78.18518518518519
1970,Asia,45.38461538461539
1970,Europe,86.48148148148148
1970,Oceania,83.33333333333333
1971,Africa,57.18867924528302
1971,Americas,78.18518518518519
1971,Asia,45.65853658536585
1971,Europe,90.18518518518519
1971,Oceania,83.33333333333333
1972,Africa,53.41509433962264
1972,Americas,76.33333333333333
